citation_key_cp,title,total_references,total_citations,abstract
Dang2012,Theory-Informed Design and Evaluation of an Advanced Search and Knowledge Mapping System in Nanotechnology,72,159,Effective search support is an important tool for ...
Daniel2005,The Future of Inter-Organisational System Linkages: Findings of an International Delphi Study,121,238,To perform effectively in markets that are becomin...
Davis2009a,When Users Are IT Experts Too: The Effects of Joint IT Competence and Partnership on Satisfaction with Enterprise-level Systems Implementation,66,126,Enterprise-level information systems (IS) are fund...
Deng2010,"User experience, satisfaction, and continual usage intention of IT",83,201,The purpose of this paper is to develop and test a...
Deodhar2012,Strategies for Software-Based Hybrid Business Models,99,183,abstractThe open source approach to software devel...
Dibbern2012,Systemic Determinants of the Information Systems Outsourcing Decision: A Comparative Study of German and United States Firms,117,184,Research ArticleThe practice of information system...
Doherty2012,Factors Affecting the Successful Realisation of Benefits from Systems Development Projects: Findings from Three Case Studies,103,189,The return that organisations derive from investme...
Doll1994,A Confirmatory Factor Analysis of the End-User Computing Satisfaction Instrument,28,47,User satisfaction is considered one of the most im...
Doll1995,Research Report-A Confirmatory Factor Analysis of the User Information Satisfaction Instrument,20,45,The structure and dimensionality ofthe user inform...
Doll2004,The Meaning and Measurement of User Satisfaction: A Multigroup Invariance Analysis of the End-User Computing Satisfaction Instrument,91,156,"Information & Management, Datamation, and Datapro...."
Dong2009a,Top Management Support of Enterprise Systems Implementations,79,151,Despite the general consensus regarding the critic...
DosSantos1993,The Impact of Information Technology Investment Announcements on the Market Value of the Firm,38,95,Determining whether investments in information tec...
Elbanna2013,Top Management Support in Multiple-project Environments: An In-practice View,103,189,Top management support has generally been consider...
Elie-Dit-Cosaque2011,Opening the Black Box of System Usage: User Adaptation to Disruptive IT,19,138,"According to Benbasat and Barki (2007), systems us..."
Elie-Dit-Cosaque2011a,"The Influence of Individual, Contextual, and Social Factors on Perceived Behavioral Control of Information Technology: A Field Theory Approach",76,234,Organizations are increasingly concerned about ens...
Espinosa2015,"Temporal Distance, Communication Patterns, and Task Performance in Teams",106,201,in large-scale technical collaboration tasks such ...
Essex1998,Determinants of Information Center Success,36,131,This paper examines determinants of infonnation ce...
Ezingeard1998,Assessing the value and cost implications of manufacturing information and data systems: an empirical study,16,63,Although manufacturing information and data system...
Feldman2011,The Dynamics of Information Collaboration: A Case Study of Blended IT Value Propositions for Health Information Exchange in Disability Determination,70,94,Special IssueSue S. FeldmanRecent developments in ...
Fielt2013,Editorial: Service Management and Engineering in Information Systems Research,9,12,Before we discuss the specific contributions of th...
Fink2007,Gaining Agility through IT Personnel Capabilities: The Mediating Role of IT Infrastructure Capabilities,85,167,This study develops a research model of how the te...
Fitzgerald2005,The Turnaround of the London Ambulance Service Computer-Aided Despatch System (LASCAD),29,60,The implementation of the Computer-Aided Despatch ...
Flynn2011,A Case Study of the Legitimation Process Undertaken to Gain Support for an Information System in a Chinese University,89,141,This research examines the legitimation process th...
Forgionne1999,An AHP model of DSS effectiveness,40,55,"Empirical studies have reported equivocal, or even..."
Forgionne2000,Management Support System Effectiveness: Further Empirical Evidence,41,43,"Modern research has engendered frameworks, such as..."
Frisk2014,Evaluation of Information System Investments: A Value Dials Approach to Closing the Theory-Practice Gap,84,123,Failed or partially failed information systems (IS...
Furneaux2011,An Exploration of Organizational Level Information Systems Discontinuance Intentions,97,153,Limited attention has been directed toward examini...
Galliers2007,Vive Les Differences? Developing a Profile of European Information Systems Research As a Basis for International Comparisons,62,79,The information systems (IS) community is truly in...
Gallivan2005,Does Information Technology Training Really Matter? A Social Information Processing Analysis of Coworkers' Influence on IT Usage in the Workplace,83,276,ABSTRACT: This paper develops a conceptual framewo...
Gallivan2015,"Co-authorship, Homophily, and Scholarly Influence in Information Systems Research",202,251,Information Systems (IS) researchers have increasi...
Gefen2004,What Makes an ERP Implementation Relationship Worthwhile: Linking Trust Mechanisms and ERP Usefulness,95,265,"TO a large extent, trust determines expected utili..."
Gil-Garcia2007,Collaborative E-Government: Impediments and Benefits of Information-Sharing Projects in the Public Sector,79,152,Information-sharing projects are becoming increasi...
Gill1995,Early Expert Systems: Where Are They Now?,65,89,Expert systems (ES) were among the earliest branch...
Gill1996,Expert Systems Usage: Task Change and Intrinsic Motivation,44,89,constructed in the early and mid-1980s) for which ...
Gill2009a,Whom Are We Informing? Issues and Recommendations for MIS Research from an Informing Science Perspective,57,86,This paper provides an introspective assessment of...
Goodhue1995,Task-Technology Fit and Individual Performance,57,87,A key concem in Information Systems (IS) research ...
Gorla2010,"Organizational Impact of System Quality, Information Quality, and Service Quality",92,242,abstractIncreased organizational dependence on inf...
Gray2006,The Role of Knowledge Repositories in Technical Support Environments: Speed Versus Learning in User Performance,85,169,Knowledge repositories are commonly used by techni...
Gray2011,Innovation Impacts of Using Social Bookmarking Systems,91,115,Many organizational innovations can be explained b...
Gregor2006a,The Nature of Theory in Information Systems,124,250,The aim of this research essay is to examine the s...
Grgecic2015,The Impact of Functional Affordances and Symbolic Expressions on the Formation of Beliefs,88,189,1 Wixom and Todd (2005) have introduced technology...
Grover1994,An evaluation of the impact of corporate strategy and the role of information technology on IS functional outsourcing,31,60,"Information systems (IS) outsourcing, or the turni..."
Grover1994a,"Organizational practice, information resource deployment and systems success: a cross-cultural survey",18,75,This study analyses differences and similarities i...
Grover1995,The Implementation of Business Process Reengineering,77,156,As more organizations undertake business process r...
Grover2015,New State of Play in Information Systems Research: The Push to the Edges,119,199,ions involving generic and atheoretical informatio...
Guinan1998,Enabling Software Development Team Performance During Requirements Definition: A Behavioral Versus Technical Approach,100,250,A s software development projects continue to be o...
Gwillim2005,The politics of post-implementation reviews,47,86,The post-implementation review (PIR) literature em...
Hakkinen2008,ERP Evaluation During the Shakedown Phase: Lessons from an After-sales Division,64,125,Integrated information systems and operational eff...
Han2015,Campus Emergency Notification Systems: An Examination of Factors Affecting Compliance with Alerts,91,133,The increasing number of campus-related emergency ...
Hardgrave1999,Toward a Contingency Model for Selecting an Information System Prototyping Strategy,47,96,Many proposed contingencies regarding the conditio...
He2008,The Role of User Participation in Information Systems Development: Implications from a Meta-Analysis,67,202,This study synthesizes the research findings of 82...
Heatley1995,An evaluation of an innovative information technology - the case of Carrier EXPERT,21,44,Introducing a new and innovative information techn...
Heijden2004,User Acceptance of Hedonic Information Systems,36,54,This paper studies the differences in user accepta...
Henfridsson2013,The Generative Mechanisms of Digital Infrastructure Evolution,103,201,The current literature on digital infrastructure o...
Henriksen2007,Dawn of e-government - an institutional analysis of seven initiatives and their impact,39,66,Most countries have defined strategies for e-gover...
Hevner2004,Design Science in Information Systems Research,110,175,Two paradigms characterize much of the research in...
Hirschheim2012,A Glorious and Not-So-Short History of the Information Systems Field,348,446,"Research ArticleIn this paper, the more than 40-ye..."
Hoehle2015,Mobile Application Usability: Conceptualization and Instrument Development,169,388,This paper presents a mobile application usability...
Hong2013,A Framework And Guidelines For Context-specific Theorizing In Information Systems Research,116,259,T his paper discusses the value of context in theo...
Hovorka2008,Explanation in Information Systems,69,115,Explanation of observed phenomena is a major objec...
Hsieh2007,Explaining Employees' Extended Use of Complex Information Systems,50,76,Investments in complex information systems by orga...
Hufnagel1994,User Response Data: The Potential for Errors and Biases,99,177,Surveys that require users to evaluate or make jud...
Hunton1997,Effects of User Participation in Systems Development: A Longitudinal Field Experiment,59,85,research. Participation is manipulated at three in...
Hussain2009,The Use of Domination and Legitimation in Information Systems Implementation,92,109,"In this paper, we present the results of a longitu..."
Igbaria1997,Personal Computing Acceptance Factors in Small Firms: A Structural Equation Model,81,180,This study draws upon the technology acceptance mo...
Iivari1995,Factors affecting perceptions of CASE effectiveness,40,74,CASE (Computer Aided Software/Systems Engineering)...
Iivari2004,Towards a Distinctive Body of Knowledge for Information Systems Experts: Coding ISD Process Knowledge in Two IS Journals,93,148,This paper introduces the idea of coding a practic...
Iivari2010a,"The user - the great unknown of systems development: reasons, forms, challenges, experiences and intellectual contributions of user involvement",56,69,We are witnessing an interesting era in the histor...
Ishman2001,Managerial information system success factors within the cultural context of North America and a former Soviet Republic,38,51,A bstractDue to the magnitude of organizational re...
Jahng2007,Effects of interaction richness on consumer attitudes and behavioral intentions in e-commerce: some experimental results,56,105,A variety of information and communication media h...
Jain1998,Success of Data Resource Management in Distributed Environments: An Empirical Investigation,61,77,The trend toward distributed processing has signif...
Jia2008,IT Service Climate: An Extension to IT Service Quality Research\Ast,96,232,IT departments are service providers to business u...
Jia2013,"IT Service Climate, Antecedents and IT Service Quality Outcomes: Some Initial Evidence",100,182,abstractAlthough many IT service management framew...
Jiang2002,Measuring Information System Service Quality: SERVQUAL from the Other Side,28,60,There has been much debate as of late over the use...
Jiang2002a,"Pre-project partnering impact on an information system project, project team and project manager",60,122,Information system (IS) managers have long recogni...
Jiang2006,The Effects of User Partnering and User Non-Support on Project Performance,76,125,Information system software development projects s...
Jones1998,Towards the development of measures of perceived benefits and compatibility of EDI: a comparative assessment of competing first order factor models,50,102,This study describes the development and testing o...
Joshi2010,Changing the Competitive Landscape: Continuous Innovation Through IT-Enabled Knowledge Capabilities,108,167,W e theoretically and empirically investigate the ...
Junglas2013,The Social Component of Information Systems—How Sociability Contributes to Technology Acceptance,134,231,Research ArticleIris JunglasThe adoption of inform...
Kane2008,Casting the Net: A Multimodal Network Perspective on User-System Interactions,73,93,I nformation systems (IS) researchers have typical...
Karahanna1999,Information Technology Adoption Across Time: A Cross-Sectional Comparison of Pre-Adoption and Post-Adoption Beliefs,71,145,The process of information technology adoption and...
Karimi2004,Impact of Environmental Uncertainty and Task Characteristics on User Satisfaction with Data,90,164,"T oday, more than ever before, organizations are f..."
Kayande2009,How Incorporating Feedback Mechanisms in a DSS Affects DSS Evaluations,67,83,M odel-based decision support systems (DSS) improv...
Kearns2006,"Strategic Alignment between Business and Information Technology: A Knowledge-based View of Behaviors, Outcome, and Consequences",99,252,Senior executives continue to be concerned about f...
Kelley2011,The Clinical Impact of eHealth on the Self-Management of Diabetes: A Double Adoption Perspective,50,77,"Special IssueThe development, adoption, and accept..."
Kettinger1997,Pragmatic Perspectives on the Measurement of Information Systems Service Quality,34,89,"In this research note, we join the debate between ..."
Kim2000,A methodology of constructing a decision path for IT investment,22,35,Information Technology (IT) may be used for organi...
Kim2002,Businesses As Buildings: Metrics for the Architectural Quality of Internet Businesses,74,120,M etrics for the architectural quality of Internet...
Kim2007a,An Empirical Investigation into the Utilization-based Information Technology Success Model: Integrating Task-performance and Social Influence Perspective,34,55,This paper develops the utilization-based informat...
Kim2009c,Out of Dedication or Constraint? A Dual Model of Post-Adoption Phenomena and its Empirical Test in the Context of Online Services,84,190,Sustained website traffic through consumers' patro...
Kim2013,The Mediating Role of Psychological Contract Breach in IS Outsourcing: Inter-firm Governance Perspective,86,161,A substantial body of previous research on the cli...
Kirsch2013,Managing the Unmanageable: How IS Research Can Contribute to the Scholarship of Cyber Projects,75,94,Introduction  What will science look like in the f...
Klecun2005,A critical approach to evaluation,89,117,"Within information systems, the question of evalua..."
Klein2007a,An empirical examination of patient-physician portal acceptance,63,110,Healthcare providers have recently begun deploying...
Klein2009a,Interfirm Strategic Information Flows in Logistics Supply Chain Relationships,100,170,This paper focuses on strategic information flows ...
Ko2011a,Profiting from Knowledge Management: The Impact of Time and Experience,106,241,A lthough many organizations are implementing know...
Koch2012,Bridging the work/social divide: the emotional response to organizational social networking sites,44,158,Organizations seem to be split on their policies g...
Kohli2016,Electronic Health Records: How Can IS Researchers Contribute to Transforming Healthcare?,129,180,Electronic health records (EHR) facilitate integra...
Kositanurit2006,An exploration of factors that impact individual performance in an ERP environment: an analysis using multiple analytical techniques,0,64,This study explores the factors that can impact in...
Kuljis1998,Information gathering problems in multinational banking,18,28,The banking sector provides an interesting focus f...
Kulkarni2007,A Knowledge Management Success Model: Theoretical and Development Empirical Validation,73,140,We examine a knowledge management (KM) success mod...
Lange2015,An empirical analysis of the factors and measures of Enterprise Architecture Management success,80,157,Enterprise Architecture Management (EAM) is discus...
Lankton2012a,Examining Two Expectation Disconfirmation Theory Models: Assimilation and Asymmetry Effects,111,139,Research ArticleExpectation disconfirmation theory...
Larsen1999,When success turns into failure: a package-driven business process re-engineering project in the financial services industry,54,79,This article discusses a Business Process Re-engin...
Larsen2003,A Taxonomy Of Antecedents Of Information Systems Success: Variable Analysis Studies,376,199,Re.search in the information systems (IS) field ha...
Larsen2009,The Role of Modelling in Achieving Information Systems Success: UML to the Rescue?,101,109,Much computer science literature addresses the mec...
Lassila1999,"Adoption and Utilization of Commercial Software Packages: Exploring Utilization Equilibria, Transitions, Triggers, and Tracks",29,50,Researchers and managers are beginning to realize ...
Lee2003c,Generalizing Generalizability In Information Systems Research,34,96,G eneralizability is a major concern to those who ...
Lee2003d,Business use of Internet-based information systems: the case of Korea,37,52,The potential of the Internet to reach a large and...
Lee2009c,Threat or Coping Appraisal: Determinants of SMB Executives' Decision to Adopt Anti-Malware Software,45,56,This study presents an empirical investigation of ...
Lee2009f,Understanding Post-adoption Usage of Mobile Data Services: The Role of Supplier-side Variables,45,142,This study investigates factors that affect usage ...
Lee2012b,Service Source and Channel Choice in G2C Service Environments: A Model Comparison in the Anti/Counter-Terrorism Domain,58,78,This paper compares the relative advantages of two...
Lewis2003,Development of a measure for the information technology infrastructure construct,65,92,The goal of this research was to operationalize th...
Lewis2005,A methodology for construct development in MIS research,52,109,This paper presents a comprehensive methodology fo...
Li2003,The Impact of Organizational Coordination and Climate on Marketing Executives' Satisfaction with Information Systems Services,68,66,Information system (IS) managers rely on a number ...
Li2012b,The Consequences of Information Technology Control Weaknesses on Management Information Systems: The Case Of Sarbanes--Oxley Internal Control Reports,52,112,"In this article, the association between the stren..."
Li2012c,Willing to pay for quality personalization? Trade-off between quality and privacy,67,162,Online personalization presents recommendations of...
Li2013b,Motivational Differences Across Post-Acceptance Information System Usage Behaviors: An Investigation in the Business Intelligence Systems Context,164,338,W e identify two post-acceptance information syste...
Li2015,Design Theory for Market Surveillance Systems,68,104,"management systems, and conceptual modeling and on..."
Lilien2004,DSS Effectiveness in Marketing Resource Allocation Decisions: Reality Vs. Perception,43,64,W e study the process by which model-based decisio...
Lim2005,Managing user acceptance towards enterprise resource planning (ERP) systems - understanding the dissonance between user expectations and managerial policies,77,164,Discourse on enterprise resource planning (ERP) sy...
Lin2010a,Extending technology usage models to interactive hedonic technologies: a theoretical model and empirical test,47,73,Much of our prior knowledge of information systems...
Liu2003,Determinants of Satisfaction at Different Adoption Stages of Internet-Based Services,65,125,Early IS research on satisfaction investigated sys...
Liu2010d,Comparing senior executive and project manager perceptions of IT project risk: a Chinese Delphi study,68,130,The success rate for information technology (IT) p...
Liu2012a,A New Approach to Testing Nomological Validity and Its Application to a Second-Order Measurement Model of Trust,56,110,Research ArticleLiping LiuThis paper examines the ...
Loebbecke2007,Use of Innovative Content Integration Information Technology at the Point of Sale,47,65,Previous research on the use of information techno...
Loh1998,The adoption of Internet-based stock trading: a conceptual framework and empirical results,65,87,Introduction  Commercial activity on the Internet ...
Lopes2006a,Consumer Perceptions and Willingness to Pay for Intrinsically Motivated Online Content,105,146,CHARGING FOR ONLINE CONTENT IS BECOMING more commo...
Lowry2013a,The Drivers in the Use of Online Whistle-Blowing Reporting Systems,83,304,Online whistle-blowing reporting systems (wBrS) ha...
Lycett1999,Information systems development: a perspective on the challenge of evolutionary complexity,58,88,This conceptual paper proposes that the methodical...
Lynch2004,User Participation in Decision Support Systems Development: Influencing System Outcomes,58,87,Despite the widely held view that systems are more...
Malhotra2003,A Multidimensional Commitment Model Of Volitional Systems Adoption And Usage Behavior,87,210,"ABSTRACT: In recent years, several organizations h..."
Marakas1996,Passive resistance misuse: overt support and covert recalcitrance in IS implementation,66,104,A major postulate in many theoretical perspectives...
Marble2000,Operationalising the Implementation Puzzle: An Argument for Eclecticism in Research and in Practice,111,270,Efforts to implement organizational information sy...
Marcolin2000,Assessing User Competence: Conceptualization and Measurement,73,161,O rganizations today face great pressure to maximi...
Markus2000,Learning from adopters' experiences with ERP: problems encountered and success achieved,22,30,Enterprise resource planning (ERP) packages touch ...
Markus2004,"Participation In Development And Implementation-updating An Old, Tired Concept For Today' S IS Contexts",81,145,The participation of users in system development a...
Martin2003,What drives the configuration of information technology projects? Exploratory research in 10 organizations,52,102,The development of high quality technical systems ...
Mathiassen2003,Service Provision in a Software Technology Unit,40,141,Large software organizations establish software te...
McBride1997,The rise and fall of an executive information system: a case study,27,39,The progress of an executive information system pr...
McElroy2007,Dispositional Factors in Internet Use: Personality Versus Cognitive Style,55,83,This study directly tests the effect of personalit...
McKeen1994,The Relationship Between User Participation and User Satisfaction: An Investigation of Four Contingency Factors,103,196,User participation has been widely touted by the M...
McKeen1997,Successful Strategies for User Participation in Systems Development,44,102,Past MIS research has indicated a mixed relationsh...
McKinney2002,The Measurement of Web-Customer Satisfaction: An Expectation and Disconfirmation Approach,68,190,O nline shopping provides convenience to Web shopp...
Meso2005,Towards a Model of Consumer Use of Mobile Information and Communication Technology in LDCs: The Case of Sub-Saharan Africa,64,186,Using theories of technology acceptance and techno...
Middleton2003,What if there is no killer application? An exploration of a user?centric perspective on broadband,56,77,This paper explores user and provider experiences ...
Mishra2007,Antecedents and Consequences of Internet Use in Procurement: An Empirical Investigation of U.S. Manufacturing Firms,60,128,T his paper examines the antecedents and consequen...
Mishra2010,"Technological Frames, Organizational Capabilities, and IT Use: An Empirical Investigation of Electronic Procurement",121,185,T he process by which organizations incorporate te...
Mohdzain2007,A study of subsidiaries' views of information systems strategic planning in multinational organisations,96,140,This research examines information systems strateg...
Moody1998,A Theoretically Grounded Approach to Assist Memory Recall during Information Requirements Determination,59,92,The interview has long been a part of the system p...
Morris2010,Job Characteristics and Job Satisfaction: Understanding the Role of Enterprise Resource Planning System Implementation,105,182,Little research has examined the impacts of enterp...
Murphy2002,Intangible benefits valuation in ERP projects,63,75,"The development, implementation and ownership of i..."
Nadkarni2007,A Task-based Model Of Perceived Website Complexity,87,209,"In this study, we propose that perceived website c..."
Nelson1996,The Contribution of Shared Knowledge to IS Group Performance,84,139,A major issue facing managers of information syste...
Nelson2005,Antecedents of Information and System Quality: An Empirical Examination within the Context of Data Warehousing,82,126,Understanding the successful adoption of informati...
Nicolaou2006,"Perceived Information Quality in Data Exchanges: Effects on Risk, Trust, and Intention to Use",107,210,T his study examines the role of information quali...
Nicolaou2011a,System Design Features and Repeated Use of Electronic Data Exchanges,95,143,Oftentimes researchers may not only generalize acr...
Nidumolu1996,A Comparison of the Structural Contingency and Risk-Based Perspectives on Coordination in Software Development Projects,88,168,This study compares the structural contingency and...
Nidumolu2003,The Matrix of Control: Combining Process and Structure Approaches to Managing Software Development,73,84,ABSTRACT: The performance of firms in the software...
Oh2013,Community Intelligence and Social Media Services: A Rumor Theoretic Analysis of Tweets During Social Crises,77,130,"Recent extreme events show that Twitter, a micro-b..."
Osei-Bryson2008,Exploring managerial factors affecting ERP implementation: an investigation of the Klein-Sorra model using regression splines,129,169,Predicting successful implementation of enterprise...
Osei-Bryson2011,Using decision tree modelling to support Peircian abduction in IS research: a systematic approach for generating and evaluating hypotheses for systematic theory development,78,97,"Since their early development, computers have had ..."
Palmer2002,"Web Site Usability, Design, and Performance Metrics",80,173,W eb sites provide the key interface for consumer ...
Park2015,"Disaster Experience and Hospital Information Systems: An Examination of Perceived Information Assurance, Risk, Resilience, and HIS Usefulness",157,203,This paper examines how an individual's disaster e...
Pei-Yu2002,Measuring Switching Costs and the Determinants of Customers Retention in Internet-enabled Businesses: A Study of the Online Brokerage Industry,41,63,T he ability to retain and lock in customers in th...
Petter2008,"Measuring Information Systems Success: Models, Dimensions, Measures, and Interrelationships",203,364,Since DeLone and McLean (D&M) developed their mode...
Piccoli2014,The Competitive Impact of Information Technology: Can Commodity IT Contribute to Competitive Performance?,85,130,Despite polarizing arguments on the strategic pote...
Pitt1995,Service Quality: A Measure of Information System Effectiveness,37,56,The IS function now includes a significant service...
Pitt2011,"Integrating the Smartphone into a Sound Environmental Information Systems Strategy: Principles, Practices and a Research Agenda",43,57,abstractSmartphones are both green technologies an...
Popovivc2014,How Information-sharing Values Influence the Use of Information Systems: An Investigation in the Business Intelligence Systems Context,98,199,abstractAlthough the constituents of information s...
Prat2015,A Taxonomy of Evaluation Methods for Information Systems Artifacts,101,128,A preliminary version of this paper was presented ...
Premkumar1994,Implementation of Electronic Data Interchange: An Innovation Diffusion Perspective,56,122,Electronic data interchange (EDI) has dramatically...
Price2005,A Semiotic Information Quality Framework: Development and Comparative Analysis,25,62,An organization depends on quality information for...
Pries-Heje2008,The Design Theory Nexus,119,156,"Managers frequently face ill-structured or ""wicked..."
Quaadgras2014,Management Commitments That Maximize Business Impact From IT,98,105,This research was made possible by the support of ...
Qureshi2009,Understanding online customer repurchasing intention and the mediating role of trust - an empirical investigation in two developed countries,96,192,Although e-commerce adoption and customers' initia...
Racherla2013,Moving from Access to Use of the Information Infrastructure: A Multilevel Sociotechnical Framework,94,134,U niversal access (UA) to the Internet and the ass...
Rai2002,Assessing the validity of IS success models: An empirical test and theoretical analysis,52,123,T he purpose of the present study is to empiricall...
Rai2009,Organizational Assimilation of Electronic Procurement Innovations,61,101,efficienT And effecTive mAnAgemenT of suPPly chAin...
RainerJr1995,The Keys to Executive Information System Success,19,48,Executive information systems (EIS) are high-risk/...
Ravichandran1999,Total Quality Management in Information Systems Development: Key Constructs and Relationships,100,184,The availability of high-quality software is criti...
Ravichandran2005,Effect of Information Systems Resources and Capabilities on Firm Performance: A Resource-based Perspective,120,194,We draw on the resource-based theory to examine ho...
Ray2014,The Central Role of Engagement in Online Communities,78,223,ly alluded to in information systems research-is t...
Rode2016,To share or not to share: the effects of extrinsic and intrinsic motivations on knowledge-sharing in enterprise social media platforms,109,231,In order to foster knowledge-sharing among employe...
Rosemann2008,Toward Improving the Relevance of Information Systems Research to Practice: The Role of Applicability Checks,42,115,This paper takes a first step in aiding researcher...
Rowe2014a,"What Literature Review is Not: Diversity, Boundaries and Recommendations",61,59,Introduction  In Orlando the EJIS Board decided to...
Ruth2012,Conversation As a Source of Satisfaction and Continuance in a Question-and-Answer Site,32,42,Generating sustainable business value from informa...
Saarinen1992,Process and product success in information systems development,18,1,Several guidelines and methods for ensuring succes...
Salge2015,Investing in Information Systems: On the Behavioral and Institutional Search Mechanisms Underpinning Hospitals' IS Investment Decisions,180,435,This study integrates tenets of the behavioral the...
Santhanam1995,Assessing the quality of institutional DSS,52,86,Effectively assessing decision support systems (DS...
Sasidharan2012,The Effects of Social Network Structure on Enterprise Systems Success: A Longitudinal Multilevel Analysis,112,234,T he implementation of enterprise systems has yiel...
Sawyer2001,Effects of intra-group conflict on packaged software development team performance,68,165,Data from 40 packaged software development teams a...
Sawyer2010,Social Interactions of Information Systems Development Teams: A Performance Perspective,91,123,We report results from a longitudinal study of inf...
Scheepers2006,Contextual Influences On User Satisfaction With Mobile Computing: Findings From Two Healthcare Organizations,36,50,Mobile information technologies (IT) are transform...
Schlosser2015,Achieving social alignment between business and IT - an empirical evaluation of the efficacy of IT governance mechanisms,90,175,How can firms improve the degree of social alignme...
Scott2016,Measuring eGovernment success: a public value approach,159,261,Measuring the success of eGovernment systems depen...
Seddon1997,A Respecification and Extension of the DeLone and McLean Model of IS Success,38,96,D eLone and McLean's (1992) comprehensive review o...
Seddon2010,A Multi-Project Model of Key Factors Affecting Organizational Benefits from Enterprise Systems,136,226,"Introduction  Enterprise systems are large-scale, ..."
Segars1998,Strategic Information Systems Planning Success: An Investigation of the Construct and Its Measurement,51,139,Strategic information systems planning (SISP) requ...
Segars1999,Profiles of Strategic Information Systems Planning,80,306,I mproving strategic planning within the realm of ...
Sen2007,A Strategic Analysis of Competition Between Open Source and Proprietary Software,37,58,statement from a memo written by Microsoft CEO Ste...
Setia2012,How Peripheral Developers Contribute to Open-Source Software Development,84,135,O pen-source software development is the next stag...
Setia2013,Leveraging Digital Technologies: How Information Quality Leads to Localized Capabilities and Customer Service Performance,181,313,With the growing recognition of the customer's rol...
Sharda2004,Foundation for the Study of Computer-supported Collaborative Learning Requiring Immersive Presence,114,136,THE USE OF DISTANCE LEARNING (DL) to provide educa...
Sharma2003b,The Contingent Effects of Management Support and Task Interdependence on Successful Information Systems Implementation,75,185,Management support is considered to be a critical ...
Sharma2007,"The Contingent Effects of Training, Technical Complexity, and Task Interdependence on Successful Information Systems Implementation",83,163,Research has investigated the main effect of train...
Shaw2002,Capturing the Technological Dimensions of IT Infrastructure Change: A Model and Empirical Evidence,67,104,Information systems (IS) researchers have develope...
Shollo2015a,Towards an understanding of the role of business intelligence systems in organisational knowing,98,189,"Recent advances in information technology (IT), su..."
Singh2008,Network Effects: The Influence of Structural Capital on Open Source Project Success,78,110,What determines the success of open source project...
Soellner2016,Why different trust relationships matter for information systems users,81,114,Technology acceptance research has shown that trus...
Soror2015,Good habits gone bad: Explaining negative consequences associated with the use of mobile phones from a dual-systems perspective,117,220,Information technology use is typically assumed to...
Stafford2011,Online Tax Payment Systems As an Emergent Aspect of Governmental Transformation,78,153,The achievement of governmental transformation thr...
Straub1994,The Effect of Culture on IT Diffusion: E-Mail and FAX in Japan and the US,61,95,Few cross-cultural studies have investigated how f...
Straub2001,Research Commentary: Transformational Issues in Researching IS and Net-Enabled Organizations,46,65,"T he conduct of net-enabled business, known variou..."
Straub2008a,Editor' S Comments: Why Do Top Journals Reject Good Papers,6,2,EDITOR'S COMMENTS Why Do Top Journals Reject Good ...
Straub2009,Editor' S Comments: Diamond Mining or Coal Mining? Which Reviewing Industry Are We In?,15,10,"bearing rock, then you will experience ""slim picki..."
Straub2009a,Editor' S Comments: Why Top Journals Accept Your Paper,33,28,The Importance and Difficulty of Publishing in Top...
Straub2009b,Creating blue oceans of thought via highly citable articles,5,5,Journals may seek to find and only publish papers ...
Straub2010,Journal Quality and Citations: Common Metrics and Considerations About their Use,39,36,What Is Journal Quality? Does it Differ from Journ...
Straub2012,Editor' S Comments: Use,33,35,Professor of Management of the Biotech Firms Facul...
Sun2012,Understanding User Revisions When Using Information System Features: Adaptive System Use and Triggers,169,228,Post-adoptive system use is often characterized by...
Sun2012a,User Satisfaction with Information Technology Service Delivery: A Social Capital Perspective,93,194,E xisting research has long considered service qua...
Susarla2003,Understanding the Service Component of Application Service Provision: An Empirical Analysis of Satisfaction with ASP Services,152,278,In spite of the promise and potential of improving...
Sykes2014,Enterprise System Implementation and Employee Job Performance: Understanding the Role of Advice Networks,160,190,"The implementation of enterprise systems, such as ..."
Sykes2015,Support Structures and Their Impacts on Employee Outcomes: A Longitudinal Field Study of an Enterprise System Implementation,160,204,Despite the impressive progress in understanding t...
Tan2010,Assessing Screening and Evaluation Decision Support Systems: A Resource-Matching Approach,55,132,T his research explores how consumers use online d...
Tan2016,An Exploratory Study of the Formation and Impact of Electronic Service Failures,243,184,E-commerce service failures have been the bane of ...
Tarafdar2006,Information systems assimilation in Indian organizations: An examination of strategic and organizational imperatives,83,196,IT investment by organizations in India has increa...
Tarafdar2010,Impact of Technostress on End-User Satisfaction and Performance,64,159,Organizational use of information and communicatio...
Taylor1995,Understanding Information Technology Usage: A Test of Competing Models,41,181,The Technology Acceptance Model and two variations...
Teo2008,Knowledge Portals in Chinese Consulting Firms: A Task–Technology Fit Perspective,84,153,Although knowledge management (KM) has been examin...
Teo25,Trust and Electronic Government Success: An Empirical Study,73,118,Electronic government is being increasingly recogn...
Tesch2005,Perception and expectation gaps of information systems provider skills: the impact on user satisfaction,50,85,Past research indicates that expectations play a c...
Thong1994,Engagement of External Expertise in Information Systems Implementation,61,122,Most small businesses lack computer experience and...
Tojib2008,User Satisfaction with Business-to-Employee Portals: Conceptualization and Scale Development,150,177,The purpose of this paper is to develop and valida...
Tong2015,The Road to Early Success: Impact of System Use in the Swift Response Phase,56,137,"W hen an enterprise system is introduced, system u..."
