citation_key_lr,BV,synthesis,theory_testing,theory_building,r_gaps,criticizing,r_agenda,title,gs_citations_2016_07,abstract
Wang2007a,False,subordinate,dominant,,,,,A Meta-Analysis Comparing the Sunk Cost Effect for IT and Non-IT Projects,5,
Wang2008,False,dominant,,subordinate,subordinate,,subordinate,"A Literature Review of Electronic Marketplace Research: Themes, Theories and an Integrative Framework",60,
Wang2013e,False,subordinate,,dominant,subordinate,,,Digital Natives and Digital Immigrants,23,
Wang2014h,False,subordinate,,dominant,subordinate,,,The IT Compensation Challenge: Theorizing the Balance Among Multi-Level Internal and External Uncertainties,1,
Weber2011,False,dominant,,,subordinate,,dominant,What Drives Global ICT Adoption? Analysis and Research Directions,68,
Weigel2014,False,subordinate,dominant,,,,,Diffusion of Innovations and the Theory of Planned Behavior in Information Systems Research: A Metaanalysis,8,
Whelan2007,False,subordinate,,dominant,subordinate,,,Exploring Knowledge Exchange in Electronic Networks of Practice,65,
Whitley2013,False,dominant,,,,,,Privacy and Security in the Cloud: A Review of Guidance and Responses,1,
Wiener2010,False,dominant,,,dominant,,,Information Systems Offshoring - A Literature Review and Analysis,29,
Williams2012,False,subordinate,,,subordinate,,dominant,Research Commentary-Moving Beyond the Single Site Implementation Study: How (and Why) We Should Study the Biography of Packaged Enterprise Solutions,59,
Wills2010,False,dominant,,,subordinate,subordinate,,Information Systems and Healthcare XXXIV: Clinical Knowledge Management Systems - Literature Review and Research Issues for Information Systems,16,
Wu2009a,False,subordinate,dominant,dominant,,,,A Meta-Analysis of the Role of Environment-Based Voluntariness in Information Technology Acceptance,159,
Wu2010a,False,dominant,,,,,,Service Engineering : An Interdisciplinary Framework,31,
Wu2012b,False,subordinate,dominant,,,,,Toward a Better Understanding of Behavioral Intention and System Usage Constructs,35,
Wu2013a,False,subordinate,dominant,,subordinate,,,"Effects of Extrinsic and Intrinsic Motivators on Using Utilitarian, Hedonic, and Dual-Purposed Information Systems: A Meta-Analysis",62,
Xiao2007,False,subordinate,subordinate,dominant,subordinate,,dominant,"E-Commerce Product Recommendation Agents: Use, Characteristics, and Impact",513,
Xiao2013,False,subordinate,,,subordinate,,dominant,ICT Innovation in Emerging Economies: A Review of the Existing Literature and a Framework for Future Research,13,
Yang2012,False,dominant,,,subordinate,,,A Descriptive Literature Review and Classification of Cloud Computing Research,117,
Zhang2008,False,dominant,,,subordinate,dominant,subordinate,"Issues, Limitations, and Opportunities in Cross-Cultural Research on Collaborative Software in Information Systems",27,
Zhang2013f,False,subordinate,,dominant,subordinate,,,The Affective Response Model: A Theoretical Framework Of Affective Concepts And Their Relationships In The ICT Context,77,
Zhao2014a,False,dominant,,,subordinate,,dominant,Evaluation on Crowdsourcing Research: Current Status and Future Direction,163,
Zviran2003,False,dominant,,,,,,Measuring IS User Satisfaction: Review and Implications,188,
Zwass2003,False,dominant,,,,,,Electronic Commerce and Organizational Innovation: Aspects and Opportunities,239,
