"citation_key","author","title","year","journal","volume","issue","pages"
"DeLuca2008","DeLuca, Dorrie and Gallivan, Michael J. and Kock, Ned","Furthering Information Systems Action Research: A Post-Positivist Synthesis of Four Dialectics",2008,"Journal of the Association for Information Systems",9,2,"48--72"
"Demirhan2005","Demirhan, Didem and Jacob, Varghese S. and Raghunathan, Srinivasan","Information Technology Investment Strategies Under Declining Technology Cost",2005,"Journal of Management Information Systems",22,3,"321-350"
"Deng2010","Deng, Liqiong and Turner, Douglas E. and Gehling, Robert and Prince, Brad","User experience, satisfaction, and continual usage intention of IT",2010,"European Journal of Information Systems",19,1,"60-75"
"Deodhar2012","Deodhar, Swanand J. and Saxena, Kul Bhushan C. and Gupta, Rajen K. and Ruohonen, Mikko","Strategies for Software-Based Hybrid Business Models",2012,"The Journal of Strategic Information Systems",21,4,"274--294"
"Devaraj2000","Devaraj, Sarv and Kohli, Rajiv","Information Technology Payoff in the Health-care Industry: A Longitudinal Study",2000,"Journal of Management Information Systems",16,4,"41--67"
"Dewan2000","Dewan, Rajiv M. and Jing, Bing and Seidmann, Abraham","Adoption of Internet-Based Product Customization and Pricing Strategies",2000,"Journal of Management Information Systems",17,2,"9-28"
"Dewan2011","Dewan, Sanjeev and Ren, Fei","Information Technology and Firm Boundaries: Impact on Firm Risk and Return Performance",2011,"Information Systems Research",22,2,"369--388"
"Dhaliwal2011","Dhaliwal, Jasbir and Onita, Colin Gabriel and Poston, Robin and Zhang, Xihui Paul","Alignment within the Software Development Unit: Assessing Structural and Relational Dimensions between Developers and Testers",2011,"The Journal of Strategic Information Systems",20,4,"323--342"
"Dibbern2012","Dibbern, Jens and Chin, Wynne W. and Heinzl, Armin","Systemic Determinants of the Information Systems Outsourcing Decision: A Comparative Study of German and United States Firms",2012,"Journal of the Association for Information Systems",13,6,"466--497"
"Doherty2009","Doherty, Neil F. and Terry, Mark","The Role of IS Capabilities in Delivering Sustainable Improvements to Competitive Positioning",2009,"The Journal of Strategic Information Systems",18,2,"100--116"
"Doherty2012","Doherty, Neil F. and Ashurst, Colin and Peppard, Joe","Factors Affecting the Successful Realisation of Benefits from Systems Development Projects: Findings from Three Case Studies",2012,"Journal of Information Technology",27,1,"1--16"
"Doll1994","Doll, William J. and Xia, Weidong and Torkzadeh, Gholamreza","A Confirmatory Factor Analysis of the End-User Computing Satisfaction Instrument",1994,"MIS Quarterly",18,4,"453-461"
"Doll1995","Doll, William J. and Raghunathan, T. S. and Lim, Jeen-Su and Gupta, Yash P.","Research Report-A Confirmatory Factor Analysis of the User Information Satisfaction Instrument",1995,"Information Systems Research",6,2,"177--188"
"Doll2004","Doll, William J. and Deng, Xiaodong and Raghunathan, T. S. and Torkzadeh, Gholamreza and Xia, Weidong","The Meaning and Measurement of User Satisfaction: A Multigroup Invariance Analysis of the End-User Computing Satisfaction Instrument",2004,"Journal of Management Information Systems",21,1,"227--262"
"Dong2009","Dong, Shutao and Xu, Sean Xin and Zhu, Kevin Xiaoguo","Research Note - Information Technology in Supply Chains: The Value of IT-Enabled Resources Under Competition",2009,"Information Systems Research",20,1,"18--32"
"Dong2009a","Dong, Linying and Neufeld, Derrick and Higgins, Chris","Top Management Support of Enterprise Systems Implementations",2009,"Journal of Information Technology",24,1,"55--80"
"DosSantos1993","Dos Santos, Brian L. and Peffers, Ken and Mauer, David C.","The Impact of Information Technology Investment Announcements on the Market Value of the Firm",1993,"Information Systems Research",4,1,"1--23"
"DosSantos2012","Dos Santos, Brian L. and Zheng, Zhiqiang and Mookerjee, Vijay S. and Chen, Hongyu","Are New IT-Enabled Investment Opportunities Diminishing for Firms?",2012,"Information Systems Research",23,2,"287--305"
"Drnevich2013","Drnevich, Paul L. and Croson, David C.","Information Technology and Business-level Strategy: Toward an Integrated Theoretical Perspective",2013,"MIS Quarterly",37,2,"483--509"
"Elbanna2013","Elbanna, Amany","Top Management Support in Multiple-project Environments: An In-practice View",2013,"European Journal of Information Systems",22,3,"278--294"
"Elie-Dit-Cosaque2011","Elie-Dit-Cosaque, Christophe and Straub, Detmar W.","Opening the Black Box of System Usage: User Adaptation to Disruptive IT",2011,"European Journal of Information Systems",20,5,"589--607"
"Elie-Dit-Cosaque2011a","Elie-Dit-Cosaque, Christophe and Pallud, Jessie and Kalika, Michel","The Influence of Individual, Contextual, and Social Factors on Perceived Behavioral Control of Information Technology: A Field Theory Approach",2011,"Journal of Management Information Systems",28,3,"201--234"
"Espinosa2015","Espinosa, J. Alberto and Nan, Ning and Carmel, Erran","Temporal Distance, Communication Patterns, and Task Performance in Teams",2015,"Journal of Management Information Systems",32,1,"151-191"
"Essex1998","Essex, Patricia A. and Magal, Simha R. and Masteller, Douglas E.","Determinants of Information Center Success",1998,"Journal of Management Information Systems",15,2,"95-117"
"Ezingeard1998","Ezingeard, J.-N. and Irani, Z. and Race, P.","Assessing the value and cost implications of manufacturing information and data systems: an empirical study",1998,"European Journal of Information Systems",7,4,"252-260"
"Fairbank2006","Fairbank, James F. and Labianca, Guiseppe Joe and Steensma, H. Kevin and Metters, Richard","Information Processing Design Choices, Strategy, and Risk Management Performance",2006,"Journal of Management Information Systems",23,1,"293--319"
"Farbey1999","Farbey, Barbara and Land, Frank and Targett, David","Moving IS evaluation forward: learning themes and research issues",1999,"The Journal of Strategic Information Systems",8,2,"189-207"
"Feldman2011","Feldman, Sue S. and Horan, Thomas A.","The Dynamics of Information Collaboration: A Case Study of Blended IT Value Propositions for Health Information Exchange in Disability Determination",2011,"Journal of the Association for Information Systems",12,2,"189--207"
"Fichman2004","Fichman, Robert G.","Going Beyond the Dominant Paradigm for Information Technology Innovation Research: Emerging Concepts and Methods",2004,"Journal of the Association for Information Systems",5,8,"314--355"
"Fichman2014","Fichman, Robert G. and Melville, Nigel P.","How Posture-Profile Misalignment in IT Innovation Diminishes Returns: Conceptual Development and Empirical Demonstration",2014,"Journal of Management Information Systems",31,1,"203--239"
"Fielt2013","Fielt, Erwin and BöHmann, Tilo and Korthaus, Axel and Conger, Sue and Gable, Guy","Editorial: Service Management and Engineering in Information Systems Research",2013,"The Journal of Strategic Information Systems",22,1,"46--50"
"Fink2007","Fink, Lior and Neumann, Seev","Gaining Agility through IT Personnel Capabilities: The Mediating Role of IT Infrastructure Capabilities",2007,"Journal of the Association for Information Systems",8,8,"440--462"
"Fink2008","Fink, Lior and Markovich, Sarit","Generic Verticalization Strategies in Enterprise System Markets: An Exploratory Framework",2008,"Journal of Information Technology",23,4,"281--296"
"Fink2010","Fink, Lior","Information Technology Outsourcing through a Configurational Lens",2010,"The Journal of Strategic Information Systems",19,2,"124--141"
"Fink2011","Fink, Lior","How Do IT Capabilities Create Strategic Value? Toward Greater Integration of Insights from Reductionistic and Holistic Approaches",2011,"European Journal of Information Systems",20,1,"16--33"
"Fitzgerald2005","Fitzgerald, Guy and Russo, Nancy L.","The Turnaround of the London Ambulance Service Computer-Aided Despatch System (LASCAD)",2005,"European Journal of Information Systems",14,3,"244--257"
"Flynn2011","Flynn, Donal and Du, Yongqin","A Case Study of the Legitimation Process Undertaken to Gain Support for an Information System in a Chinese University",2011,"European Journal of Information Systems",21,3,"212--228"
"Forgionne1999","Forgionne, G. A.","An AHP model of DSS effectiveness",1999,"European Journal of Information Systems",8,2,"95-106"
"Forgionne2000","Forgionne, Guisseppi A. and Kohli, Rajiv","Management Support System Effectiveness: Further Empirical Evidence",2000,"Journal of the Association for Information Systems",1,"no issue","1-37"
"Francalanci1998","Francalanci, Chiara and Galal, Hossam","Information Technology and Worker Composition: Determinants of Productivity in the Life Insurance Industry",1998,"MIS Quarterly",22,2,"227--241"
"Francalanci1998a","Francalanci, C. and Galal, H.","Aligning IT investments and workforce composition: the impact of diversification in life insurance companies",1998,"European Journal of Information Systems",7,3,"175-184"
"Francalanci2008","Francalanci, Chiara and Morabito, Vincenzo","IS Integration and Business Performance: The Mediation Effect of Organizational Absorptive Capacity in SMEs",2008,"Journal of Information Technology",23,4,"297--312"
"Frisk2014","Frisk, Jane Elisabeth and Bannister, Frank and Lindgren, Rikard","Evaluation of Information System Investments: A Value Dials Approach to Closing the Theory-Practice Gap",2014,"Journal of Information Technology",30,3,"276-292"
"Frisk2014a","Frisk, Jane Elisabeth and Lindgren, Rikard and Mathiassen, Lars","Design Matters for Decision Makers: Discovering IT Investment Alternatives",2014,"European Journal of Information Systems",23,4,"442--461"
"Frisk2015","Frisk, Jane Elisabeth and Bannister, Frank and Lindgren, Rikard","Evaluation of Information System Investments: a Value Dials Approach to Closing the Theory-Practice Gap",2015,"Journal of Information Technology",30,3,"276--292"
"Furneaux2011","Furneaux, Brent and Wade, Michael","An Exploration of Organizational Level Information Systems Discontinuance Intentions",2011,"MIS Quarterly",35,3,"573--598"
"Gable2008","Gable, Guy G. and Sedera, Darshana and Chan, Taizan","Re-Conceptualizing Information System Success: The IS-Impact Measurement Model",2008,"Journal of the Association for Information Systems",9,7,"377--408"
"Galliers2007","Galliers, Robert D. and Whitley, Edgar A.","Vive Les Differences? Developing a Profile of European Information Systems Research As a Basis for International Comparisons",2007,"European Journal of Information Systems",16,1,"20--35"
"Gallivan2003a","Gallivan, Michael and Keil, Mark","The user-developer communication process: a critical case study",2003,"Information Systems Journal",13,1,"37-68"
"Gallivan2005","Gallivan, Michael J. and Spitler, Valerie K. and Koufaris, Marios","Does Information Technology Training Really Matter? A Social Information Processing Analysis of Coworkers' Influence on IT Usage in the Workplace",2005,"Journal of Management Information Systems",22,1,"153--192"
"Gallivan2015","Gallivan, Michael and Ahuja, Manju","Co-authorship, Homophily, and Scholarly Influence in Information Systems Research",2015,"Journal of the Association for Information Systems",16,12,"980-1015"
"Gannon2013","Gannon, Brian","Outsiders: An Exploratory History of IS in Corporations",2013,"Journal of Information Technology",28,1,"50--62"
"Gao2006","Gao, Lucia and Iyer, Bala","Analyzing Complementarities Using Software Stacks for Software Industry Acquisitions",2006,"Journal of Management Information Systems",23,2,"119--147"
"Gefen2004","Gefen, David","What Makes an ERP Implementation Relationship Worthwhile: Linking Trust Mechanisms and ERP Usefulness",2004,"Journal of Management Information Systems",21,1,"263--288"
"Gerow2014","Gerow, Jennifer E. and Grover, Varun and Thatcher, Jason and Roth, Philip L.","Looking Toward the Future of IT-Business Strategic Alignment through the Past: A Meta-Analysis",2014,"MIS Quarterly",38,4,"1159--1185"
"Gerow2014a","Gerow, Jennifer E. and Thatcher, Jason Bennett and Grover, Varun","Six Types Of IT-Business Strategic Alignment: An Investigation Of The Constructs And Their Measurement",2014,"European Journal of Information Systems",24,5,"465-491"
"Gholami2016","Gholami, Roya and Watson, Richard T. and Hasan, Helen and Molla, Alemayehu and Bjørn-Andersen, Niels","Information Systems Solutions for Environmental Sustainability: How Can We Do More?",2016,"Journal of the Association for Information Systems",17,8,"521-536"
"Gil-Garcia2007","Gil-Garcia, J. Ramon and Chengalur-Smith, InduShobha and Duchessi, Peter","Collaborative E-Government: Impediments and Benefits of Information-Sharing Projects in the Public Sector",2007,"European Journal of Information Systems",16,2,"121--133"
"Gill1995","Gill, T.","Early Expert Systems: Where Are They Now?",1995,"MIS Quarterly",19,1,"51--81"
"Gill1996","Gill, T. Grandon","Expert Systems Usage: Task Change and Intrinsic Motivation",1996,"MIS Quarterly",20,3,"301-329"
"Gill2009a","Gill, Grandon and Bhattacherjee, Anol","Whom Are We Informing? Issues and Recommendations for MIS Research from an Informing Science Perspective",2009,"MIS Quarterly",33,2,"217-235"
"Gnyawali2010","Gnyawali, Devi R. and Fan, Weiguo and Penner, James","Competitive Actions and Dynamics in the Digital Age: An Empirical Investigation of Social Networking Firms",2010,"Information Systems Research",21,3,"594--613"
"Goh2013","Goh, Jenson Chong-Leng and Pan, Shan L. and Zuo, Meiyun","Developing the Agile IS Development Practices in Large-Scale IT Projects: The Trust-Mediated Organizational Controls and IT Project Team Capabilities Perspectives",2013,"Journal of the Association for Information Systems",14,12,"722--756"
"Goh2013a","Goh, Kim Huat and Kauffman, Robert J.","Firm Strategy and the Internet in U.S. Commercial Banking",2013,"Journal of Management Information Systems",30,2,"9--40"
"Goldstein2011","Goldstein, James and Chernobai, Anna and Benaroch, Michel","An Event Study Analysis of the Economic Impact of IT Operational Risk and Its Subcategories",2011,"Journal of the Association for Information Systems",12,9,"606--631"
"Goode2009","Goode, Sigi and Gregor, Shirley","Rethinking Organisational Size in IS Research: Meaning, Measurement and Redevelopment",2009,"European Journal of Information Systems",18,1,"4--25"
"Goodhue1995","Goodhue, Dale and Thompson, Ronald L.","Task-Technology Fit and Individual Performance",1995,"MIS Quarterly",19,2,"213--236"
"Gordon2005","Gordon, John R. M. and Lee, Pui-Mun and Lucas, Henry C.","A Resource-based View of Competitive Advantage at the Port of Singapore",2005,"The Journal of Strategic Information Systems",14,1,"69--86"
"Gorla2010","Gorla, Narashimhaiah and Somers, Toni M. and Wong, Betty","Organizational Impact of System Quality, Information Quality, and Service Quality",2010,"The Journal of Strategic Information Systems",19,3,"207--228"
"Gosain2005","Gosain, Sanjay and Lee, Zoonky and Kim, Yongbeom","The management of cross-functional inter-dependencies in ERP implementations: emergent coordination patterns",2005,"European Journal of Information Systems",14,4,"371-387"
"Gray2006","Gray, Peter H. and Durcikova, Alexandra","The Role of Knowledge Repositories in Technical Support Environments: Speed Versus Learning in User Performance",2006,"Journal of Management Information Systems",22,3,"159--190"
"Gray2011","Gray, Peter H. and Parise, Salvatore and Iyer, Bala","Innovation Impacts of Using Social Bookmarking Systems",2011,"MIS Quarterly",35,3,"629--643"
"Greenaway2005","Greenaway, Kahleen E. and Chan, Yolande E.","Theoretical Explanations for Firms' Information Privacy Behaviors",2005,"Journal of the Association for Information Systems",6,6,"171--198"
"Gregor2006","Gregor, Shirley and Martin, Michael and Fernandez, Walter and Stern, Steven and Vitale, Michael","The Transformational Dimension in the Realization of Business Value from Information Technology",2006,"The Journal of Strategic Information Systems",15,3,"249--270"
"Gregor2006a","Gregor, Shirley","The Nature of Theory in Information Systems",2006,"MIS Quarterly",30,3,"611--642"
"Gregory2015","Gregory, Robert Wayne and Keil, Mark and Muntermann, Jan and Mähring, Magnus","Paradoxes and the Nature of Ambidexterity in IT Transformation Programs",2015,"Information Systems Research",26,1,"57--80"
"Grgecic2015","Grgecic, Daniel and Holten, Roland and Rosenkranz, Christoph","The Impact of Functional Affordances and Symbolic Expressions on the Formation of Beliefs",2015,"Journal of the Association for Information Systems",16,7,"580-607"
"Grimsley2007","Grimsley, Michael and Meehan, Anthony","e-Government information systems: Evaluation-led design for public value and client trust",2007,"European Journal of Information Systems",16,2,"134-148"
"Grover1994","Grover, V. and Cheon, M. and Teng, J. T. C.","An evaluation of the impact of corporate strategy and the role of information technology on IS functional outsourcing",1994,"European Journal of Information Systems",3,3,"170-190"
"Grover1994a","Grover, Varun and Segars, Albert H. and Durand, Douglas E.","Organizational practice, information resource deployment and systems success: a cross-cultural survey",1994,"The Journal of Strategic Information Systems",3,2,"85-106"
"Grover1995","Grover, Varun and Jeong, Seung Ryul and Kettinger, William J. and Wang, Shouhong","The Implementation of Business Process Reengineering",1995,"Journal of Management Information Systems",12,1,"109-144"
"Grover2006","Grover, Varun and Gokhale, Rahul and Lim, Jaejoo and Coffey, John and Ayyagari, Ramakrishna","A Citation Analysis of the Evolution and State of Information Systems within a Constellation of Reference Disciplines",2006,"Journal of the Association for Information Systems",7,5,"270--325"
"Grover2009","Grover, Varun and Gokhale, Rahul A. and Narayanswamy, Ravi S.","Resource-Based Framework for IS Research: Knowledge Firms and Sustainability in Knowledge Markets",2009,"Journal of the Association for Information Systems",10,4,"306--332"
"Grover2012","Grover, Varun and Kohli, Rajiv","Cocreating IT Value: New Capabilities and Metrics for Multifirm Environments",2012,"MIS Quarterly",36,1,"225--232"
"Grover2015","Grover, Varun and Lyytinen, Kalle","New State of Play in Information Systems Research: The Push to the Edges",2015,"MIS Quarterly",39,2,"271--296"
"Guinan1998","Guinan, Patricia J. and Cooprider, Jay G. and Faraj, Samer","Enabling Software Development Team Performance During Requirements Definition: A Behavioral Versus Technical Approach",1998,"Information Systems Research",9,2,"101-125"
"Gurbaxani2000","Gurbaxani, Vijay and Melville, Nigel and Kraemer, Kenneth L.","The Production of Information Services: A Firm-Level Analysis of Information Systems Budgets",2000,"Information Systems Research",11,2,"159-176"
"Gwillim2005","Gwillim, David and Dovey, Ken and Wieder, Bernhard","The politics of post-implementation reviews",2005,"Information Systems Journal",15,4,"307-319"
"Habjan2014","Habjan, Andreja and Andriopoulos, Constantine and Gotsi, Manto","The Role of GPS-enabled Information in Transforming Operational Decision Making: An Exploratory Study",2014,"European Journal of Information Systems",23,4,"481--502"
"Hadaya2012","Hadaya, Pierre and Cassivi, Luc","Joint Collaborative Planning As a Governance Mechanism to Strengthen the Chain of IT Value Co-creation",2012,"The Journal of Strategic Information Systems",21,3,"182--200"
"Hakkinen2008","Häkkinen, Lotta and Hilmola, Olli-Pekka","ERP Evaluation During the Shakedown Phase: Lessons from an After-sales Division",2008,"Information Systems Journal",18,1,"73--100"
"Han2011","Han, Kunsoo and Chang, Young Bong and Hahn, Jungpil","Information Technology Spillover and Productivity: The Role of Information Technology Intensity and Competition",2011,"Journal of Management Information Systems",28,1,"115--146"
"Han2011a","Han, Kunsoo and Kauffman, Robert J. and Nault, Barrie R.","Research Note-Returns to Information Technology Outsourcing",2011,"Information Systems Research",22,4,"824--840"
"Han2012","Han, Kunsoo and Oh, Wonseok and Im, Kun Shin and Chang, Raz M. and Oh, Hzelim and Pinsonneault, Alain","Value Cocreation and Wealth Spillover in Open Innovation Alliances",2012,"MIS Quarterly",36,1,"291--315"
"Han2015","Han, Wencui and Ada, Serkan and Sharman, Raj and Rao, H. Raghav","Campus Emergency Notification Systems: An Examination of Factors Affecting Compliance with Alerts",2015,"MIS Quarterly",39,4,"909--929"
"Hardgrave1999","Hardgrave, Bill C. and Wilson, Rick L. and Eastman, Ken","Toward a Contingency Model for Selecting an Information System Prototyping Strategy",1999,"Journal of Management Information Systems",16,2,"113--136"
"Hatzakis2005","Hatzakis, Tally and Lycett, Mark and Macredie, Robert D. and Martin, Valerie A.","Towards the development of a social capital approach to evaluating change management interventions",2005,"European Journal of Information Systems",14,1,"60-74"
"He2008","He, Jun and King, William R.","The Role of User Participation in Information Systems Development: Implications from a Meta-Analysis",2008,"Journal of Management Information Systems",25,1,"301--331"
"Heatley1995","Heatley, James and Agarwal, Ritu and Tanniru, Mohan","An evaluation of an innovative information technology - the case of Carrier EXPERT",1995,"The Journal of Strategic Information Systems",4,3,"255-277"
"Hedman2003","Hedman, Jonas and Kalling, Thomas","The business model concept: theoretical underpinnings and empirical illustrations",2003,"European Journal of Information Systems",12,1,"49-59"
"Heijden2004","van der Heijden, Hans","User Acceptance of Hedonic Information Systems",2004,"MIS Quarterly",28,4,"695--704"
"Henderson1995","Henderson, John C. and Lentz, Christine M. A.","Learning, Working, and Innovation: A Case Study in the Insurance Industry",1995,"Journal of Management Information Systems",12,3,"43-64"
"Henfridsson2013","Henfridsson, Ola and Bygstad, Bendik","The Generative Mechanisms of Digital Infrastructure Evolution",2013,"MIS Quarterly",37,3,"907--931"
"Henningsson2014","Henningsson, Stefan","Learning to Acquire: How Serial Acquirers Build Organisational Knowledge for Information Systems Integration",2014,"European Journal of Information Systems",24,2,"121-144"
"Henriksen2007","Henriksen, Helle Zinner and Damsgaard, Jan","Dawn of e-government - an institutional analysis of seven initiatives and their impact",2007,"Journal of Information Technology",22,1,"13-23"
"Hess2014","Hess, Traci J. and McNab, Anna L. and Basoglu, K. Asli","Reliability Generalization of Perceived Ease of Use, Perceived Usefulness, and Behavioral Intentions",2014,"MIS Quarterly",38,1,"1--28"
"Hevner2004","Hevner, Alan R. and March, Salvatore T. and Park, Jinsoo","Design Science in Information Systems Research",2004,"MIS Quarterly",28,1,"75--105"
"Hirschheim2012","Hirschheim, Rudy and Klein, Heinz K.","A Glorious and Not-So-Short History of the Information Systems Field",2012,"Journal of the Association for Information Systems",13,4,"188--235"
"Hitt1996","Hitt, Lorin M. and Brynjolfsson, Erik","Productivity, Business Profitability, and Consumer Surplus: Three Different Measures of Information Technology Value",1996,"MIS Quarterly",20,2,"121--142"
"Hoefnagel2014","Hoefnagel, Ruud and Oerlemans, Leon and Goedee, John","How Anchoring and Adjusting Influence Citizens’ Acceptance of Video-mediated Crime Reporting: A Narrative Approach",2014,"The Journal of Strategic Information Systems",23,4,"305--322"
"Hoehle2015","Hoehle, Hartmut and Venkatesh, Viswanath","Mobile Application Usability: Conceptualization and Instrument Development",2015,"MIS Quarterly",39,2,"435-472"
"Hong2013","Hong, Weiyin and Chan, Frank K. Y. and Thong, James Y. L. and Chasalow, Lewis C. and Dhillon, Gurpreet","A Framework And Guidelines For Context-specific Theorizing In Information Systems Research",2013,"Information Systems Research",25,1,"111--136"
"Hovorka2006","Hovorka, Dirk S. and Larsen, Kai R.","Enabling agile adoption practices through network organizations",2006,"European Journal of Information Systems",15,2,"159-168"
"Hovorka2008","Hovorka, Dirk and Germonprez, Matt and Larsen, Kai R.","Explanation in Information Systems",2008,"Information Systems Journal",18,1,"23--43"
"Hsieh2007","Hsieh, J. J. Po-An and Wang, Wei","Explaining Employees' Extended Use of Complex Information Systems",2007,"European Journal of Information Systems",16,3,"216--227"
"Hsieh2012","Hsieh, J. J. Po-An and Rai, Arun and Petter, Stacie and Zhang, Ting","Impact of User Satisfaction with Mandated CRM Use on Employee Service Quality",2012,"MIS Quarterly",36,4,"1065--1080"
"Huang2014","Huang, Pei-Ying and Pan, Shan L. and Ouyang, Tao Hua","Developing Information Processing Capability for Operational Agility: Implications from a Chinese Manufacturer",2014,"European Journal of Information Systems",23,4,"462--480"
"Hufnagel1994","Hufnagel, Ellen M. and Conca, Christopher","User Response Data: The Potential for Errors and Biases",1994,"Information Systems Research",5,1,"48--73"
"Hulland2007","Hulland, John and Wade, Michael and Antia, Kersi","The Impact of Capabilities and Prior Investments on Online Channel Commitment and Performance",2007,"Journal of Management Information Systems",23,4,"109--142"
"Hunton1997","Hunton, James E. and Beeler, Jesse D.","Effects of User Participation in Systems Development: A Longitudinal Field Experiment",1997,"MIS Quarterly",21,4,"359-388"
"Hussain2009","Hussain, Zahid I. and Cornelius, Nelarine","The Use of Domination and Legitimation in Information Systems Implementation",2009,"Information Systems Journal",19,2,"197--224"
"Hwang2000","Hwang, Mark I. and Windsor, John C. and Pryor, Alan","Building a Knowledge Base for MIS Research: A Meta-Analysis of a Systems Success Model",2000,"Information Resources Management Journal",13,2,"26--32"
"Hwang2005","Hwang, Yujong","Investigating Enterprise Systems Adoption: Uncertainty Avoidance, Intrinsic Motivation, and the Technology Acceptance Model",2005,"European Journal of Information Systems",14,2,"150--161"
"Hwang2011","Hwang, Mark I. and Schmidt, Frank L.","Assessing Moderating Effect in Meta-analysis: A Re-Analysis of Top Management Support Studies and Suggestions for Researchers",2011,"European Journal of Information Systems",20,6,"693--702"
"Ibrahim2009","Ibrahim, Mohammed and Ribbers, Pieter M.","The Impacts of Competence-Trust and Openness-trust on Interorganizational Systems",2009,"European Journal of Information Systems",18,3,"223--234"
"Igbaria1997","Igbaria, Magid and Zinatelli, Nancy","Personal Computing Acceptance Factors in Small Firms: A Structural Equation Model",1997,"MIS Quarterly",21,3,"279--305"
"Iivari1995","Iivari, J.","Factors affecting perceptions of CASE effectiveness",1995,"European Journal of Information Systems",4,3,"143-158"
"Iivari2004","Iivari, Juhani and Hirschheim, Rudy and Klein, Heinz K.","Towards a Distinctive Body of Knowledge for Information Systems Experts: Coding ISD Process Knowledge in Two IS Journals",2004,"Information Systems Journal",14,4,"313--342"
"Iivari2010a","Iivari, Juhani and Isomäki, Hannakaisa and Pekkola, Samuli","The user - the great unknown of systems development: reasons, forms, challenges, experiences and intellectual contributions of user involvement",2010,"Information Systems Journal",20,2,"109-117"
"Im2001","Im, Kun Shin and Dow, Kevin E. and Grover, Varun","Research Report: A Reexamination of IT Investment and the Market Value of the Firm—An Event Study Methodology",2001,"Information Systems Research",12,1,"103--117"
"Im2013","Im, Ghiyoung and Rai, Arun","IT-Enabled Coordination for Ambidextrous Interorganizational Relationships",2013,"Information Systems Research",25,1,"72--92"
"Im2013a","Im, Kun Shin and Grover, Varun and Teng, James T. C.","Research Note-Do Large Firms Become Smaller by Using Information Technology?",2013,"Information Systems Research",24,2,"470--491"
"Irani2001","Irani, Zahir and Love, Peter E. D.","Information systems evaluation: past, present and future",2001,"European Journal of Information Systems",10,4,"183-188"
"Irani2002","Irani, Zahir and Love, Peter E. D.","Developing a Frame of Reference for Ex-ante IT/IS Investment Evaluation",2002,"European Journal of Information Systems",11,1,"74--82"
"Irani2005","Irani, Zahir and Love, Peter E. D. and Elliman, Tony and Jones, Steve and Themistocleous, Marinos","Evaluating e-government: learning from the experiences of two UK local authorities",2005,"Information Systems Journal",15,1,"61-82"
"Irani2005a","Irani, Zahir and Sharif, Amir M. and Love, Peter E. D.","Linking knowledge transformation to Information Systems evaluation",2005,"European Journal of Information Systems",14,3,"213-228"
"Irani2008","Irani, Zahir and Love, Peter E. D. and Jones, Stephen","Learning lessons from evaluating eGovernment: Reflective case experiences that support transformational government",2008,"The Journal of Strategic Information Systems",17,2,"155-164"
"Ishman2001","Ishman, Michael and Pegels, C. Carl and Sanders, G. Lawrence","Managerial information system success factors within the cultural context of North America and a former Soviet Republic",2001,"The Journal of Strategic Information Systems",10,4,"291-312"
"Iyengar2015","Iyengar, Kishen and Sweeney, Jeffrey R. and Montealegre, Ramiro","Information Technology Use As a Learning Mechanism: The Impact of IT Use on Knowledge Transfer Effectiveness, Absorptive Capacity, and Franchisee Performance",2015,"MIS Quarterly",39,3,"615--641"
"Jahng2007","Jahng, Jungjoo and Jain, Hemant K. and Ramamurthy, Keshavamurthy","Effects of interaction richness on consumer attitudes and behavioral intentions in e-commerce: some experimental results",2007,"European Journal of Information Systems",16,3,"254-269"
"Jain1998","Jain, Hemant K. and Ramamurthy, K. and Ryu, Hwa-Suk and Yasai-Ardekani, Masoud","Success of Data Resource Management in Distributed Environments: An Empirical Investigation",1998,"MIS Quarterly",22,1,"1-29"
"Jia2008","Jia, Ronnie and Reich, Blaize Horner and Pearson, J. Michael","IT Service Climate: An Extension to IT Service Quality Research\Ast",2008,"Journal of the Association for Information Systems",9,5,"294--321"
"Jia2013","Jia, Ronnie and Reich, Blaize Horner","IT Service Climate, Antecedents and IT Service Quality Outcomes: Some Initial Evidence",2013,"The Journal of Strategic Information Systems",22,1,"51--69"
"Jiang2002","Jiang, James J. and Klein, Gary and Carr, Christopher L.","Measuring Information System Service Quality: SERVQUAL from the Other Side",2002,"MIS Quarterly",26,2,"145-166"
"Jiang2002a","Jiang, James J. and Klein, Gary and Discenza, Richard","Pre-project partnering impact on an information system project, project team and project manager",2002,"European Journal of Information Systems",11,2,"86--97"
"Jiang2006","Jiang, James J. and Klein, Gary and Chen, Hong-Gee","The Effects of User Partnering and User Non-Support on Project Performance",2006,"Journal of the Association for Information Systems",7,2,"68-90"
"Jones1998","Jones, M. C. and Beatty, R. C.","Towards the development of measures of perceived benefits and compatibility of EDI: a comparative assessment of competing first order factor models",1998,"European Journal of Information Systems",7,3,"210-220"
"Jones2001","Jones, Steven and Hughes, Jim","Understanding IS evaluation as a complex social process: a case study of a UK local authority",2001,"European Journal of Information Systems",10,4,"189-203"
"Joshi2010","Joshi, K. D. and Chi, Lei and Datta, Avimanyu and Han, Shu","Changing the Competitive Landscape: Continuous Innovation Through IT-Enabled Knowledge Capabilities",2010,"Information Systems Research",21,3,"472--495"
"Junglas2013","Junglas, Iris and Goel, Lakshmi and Abraham, Chon and Ives, Blake","The Social Component of Information Systems—How Sociability Contributes to Technology Acceptance",2013,"Journal of the Association for Information Systems",14,10,"585--616"
